Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
45195,765.944,270.5319702,213.1831864,1.269011758,0.615656343,45511,239.8834326,0.785098843,0.993056624,0.968068787,0.886710108,0.005985883,0.002282625,0.786254816,0.997766606,SEKER
38971,716.507,249.8799202,199.0578246,1.255313227,0.604488421,39315,222.7541656,0.754915445,0.991250159,0.953916891,0.891444841,0.006411945,0.002497741,0.794673904,0.997564663,SEKER
39703,749.138,275.8573448,183.58117,1.502645096,0.746403968,40147,224.8364509,0.72593798,0.988940643,0.88901591,0.815046092,0.006948023,0.00189134,0.664300132,0.998207336,SIRA
39524,721.543,248.8682306,202.4588745,1.229228559,0.581539233,39875,224.3290435,0.750693257,0.991197492,0.953995485,0.901396867,0.006296636,0.002564204,0.812516313,0.998768256,SEKER
31518,650.724,236.4859992,170.150753,1.389861608,0.694496486,31829,200.3246464,0.780999108,0.990229036,0.935351541,0.847088822,0.007503204,0.0023831,0.717559472,0.997308362,DERMASON
44032,781.299,289.9115643,195.2323586,1.484956522,0.73925975,44593,236.7768647,0.807511737,0.98741955,0.906449762,0.816721007,0.006584111,0.001807057,0.667033203,0.990515305,SIRA
23226,571.287,207.3553129,142.7751858,1.452320385,0.725185733,23524,171.9658736,0.79,0.987332086,0.894284292,0.829329479,0.008927724,0.002605127,0.687787384,0.998887639,DERMASON
38976,716.184,257.7444621,192.8115845,1.336768549,0.663616833,39281,222.7684549,0.768939394,0.992235432,0.954900019,0.864299675,0.006612902,0.002276299,0.747013929,0.998584726,SEKER
45653,777.821,266.987536,218.420544,1.222355421,0.575086426,46020,241.0958418,0.748495729,0.992025206,0.948243462,0.903022835,0.005848193,0.002398813,0.815450241,0.996770023,SEKER
33299,678.008,257.0613413,165.4223944,1.553969414,0.765434923,33617,205.9067838,0.733716728,0.9905405,0.910272492,0.801002526,0.007719792,0.001960293,0.641605047,0.997034619,DERMASON
40392,736.057,267.2763526,192.6563401,1.387321863,0.693129309,40754,226.778949,0.768844221,0.991117436,0.93687646,0.848481157,0.006617062,0.002115504,0.719920274,0.998761136,SEKER
36496,698.972,218.3369555,213.0391831,1.024867596,0.218951263,36927,215.5647244,0.771487761,0.988328323,0.938718927,0.987302969,0.00598249,0.003506417,0.974767153,0.999007269,SEKER
38195,719.457,243.2856909,200.212062,1.21514003,0.568113196,38604,220.5252467,0.778536486,0.989405243,0.927271034,0.906445611,0.006369569,0.002652509,0.821643645,0.998412083,SEKER
33020,664.025,248.3135489,169.6085604,1.464039011,0.730379183,33285,205.0423609,0.717857298,0.992038456,0.941061642,0.825739722,0.007520095,0.002156631,0.681846089,0.998249273,DERMASON
28736,652.79,245.1565597,150.3931283,1.630104795,0.789727741,29209,191.279407,0.711956791,0.983806361,0.847401431,0.780233689,0.008531339,0.001950275,0.60876461,0.99235011,DERMASON
51561,858.03,333.29467,198.3860735,1.68003058,0.803557408,52271,256.2215919,0.816989114,0.986416942,0.880088306,0.768753943,0.006464085,0.001392632,0.590982626,0.992868883,SIRA
56204,899.17,300.3835241,238.9591697,1.257049581,0.605935772,57330,267.5091688,0.751671749,0.980359323,0.873561473,0.890558727,0.005344522,0.002073666,0.793094846,0.996959544,SEKER
33702,678.75,245.952983,175.275076,1.403239917,0.701533464,34090,207.1490264,0.757416397,0.988618363,0.919275854,0.842230185,0.007297875,0.002265163,0.709351685,0.995390599,DERMASON
38507,722.063,268.6913367,182.6140138,1.471362088,0.733543635,38904,221.424107,0.748348103,0.989795394,0.928109816,0.824083537,0.006977727,0.001985083,0.679113675,0.999222115,DERMASON
36661,689.743,229.3600251,203.7763392,1.125547872,0.458961391,36979,216.0514637,0.785200257,0.991400525,0.968366078,0.941975236,0.00625624,0.003038443,0.887317345,0.99871815,SEKER
35616,702.212,273.0505738,166.2604174,1.642306557,0.793247208,35920,212.9499933,0.799461279,0.991536748,0.907650211,0.779892129,0.007666514,0.001749508,0.608231733,0.998902963,DERMASON
52562,864.753,332.3567684,202.2219788,1.64352446,0.793593358,53046,258.6967664,0.781033612,0.990875844,0.883278361,0.778370688,0.006323138,0.001431721,0.605860928,0.995747254,SIRA
32112,674.896,257.48397,159.8626883,1.610657075,0.783917801,32489,202.2035318,0.808438861,0.988396073,0.885938369,0.785305321,0.00801831,0.001881121,0.616704448,0.993299382,DERMASON
31274,648.848,236.8877335,168.6505756,1.40460673,0.702237206,31652,199.5477224,0.730291425,0.988057627,0.933485025,0.842372543,0.00757459,0.002352641,0.709591501,0.996696998,DERMASON
42849,799.79,310.42017,177.4709643,1.749132153,0.820454317,43595,233.5744876,0.7935,0.982887946,0.841780024,0.752446233,0.007244514,0.001432488,0.566175334,0.990315481,SIRA
49105,813.679,289.7182954,216.0480583,1.340990045,0.666262054,49553,250.0448517,0.76312804,0.990959175,0.932028868,0.863062001,0.005899975,0.002019287,0.744876017,0.998871324,SEKER
32931,703.18,258.9877407,162.4359022,1.594399619,0.778862,33528,204.7658454,0.736826796,0.982193987,0.836915793,0.790639143,0.007864557,0.00189569,0.625110255,0.996675553,DERMASON
39023,711.172,248.1913972,200.4316811,1.238284266,0.589773086,39313,222.9027294,0.783594378,0.992623305,0.969574576,0.898108202,0.006360131,0.002552469,0.806598342,0.998798036,SEKER
24796,583.933,218.4702547,144.8632265,1.508113963,0.748548659,25139,177.6829979,0.758681884,0.986355861,0.913830088,0.813305217,0.008810706,0.002377961,0.661465376,0.99756517,DERMASON
28749,626.105,229.6698895,159.9659553,1.435742306,0.717553085,29085,191.322669,0.715184835,0.988447653,0.921591081,0.833033313,0.007988796,0.00237307,0.693944501,0.996325478,DERMASON
35795,684.955,227.565012,200.5136154,1.134910522,0.472880198,36124,213.4844479,0.76801768,0.990892481,0.958756122,0.938125093,0.006357452,0.003037427,0.880078689,0.998810565,SEKER
29928,645.731,241.6901588,158.1128904,1.528592376,0.756324502,30331,195.2063347,0.714510815,0.986713264,0.901953787,0.807671838,0.00807572,0.002119829,0.652333797,0.997152469,DERMASON
44807,793.217,296.441382,193.2565024,1.533927077,0.758286485,45362,238.8515109,0.788300493,0.98776509,0.894894223,0.805729313,0.006615961,0.001720004,0.649199725,0.995825037,SIRA
54957,897.669,346.6335391,203.1906923,1.705951858,0.810178669,55761,264.5249056,0.742642091,0.98558132,0.857038686,0.763125537,0.006307359,0.001319506,0.582360585,0.993479122,SIRA
44417,765.401,275.0257092,206.0544958,1.334723167,0.662322309,44758,237.8097577,0.757503923,0.99238125,0.952754559,0.864681918,0.006191902,0.002135155,0.747674819,0.997938903,SEKER
31622,659.514,251.4367622,160.4463714,1.567107813,0.769938424,31880,200.65488,0.80328202,0.991907152,0.913589628,0.798033184,0.007951324,0.001989312,0.636856963,0.998023523,DERMASON
34266,678.422,251.6232371,173.6664891,1.448887683,0.723633323,34595,208.8751451,0.76266999,0.990489955,0.935563842,0.830110714,0.007343233,0.002150855,0.689083798,0.998405028,DERMASON
44371,787.146,296.3200136,191.1799334,1.549953535,0.764030074,44868,237.6865832,0.777293112,0.988923063,0.899908792,0.802128011,0.006678236,0.001705361,0.643409346,0.997254591,SIRA
38625,724.328,241.4480239,203.9764164,1.183705588,0.535074838,39111,221.763111,0.769928439,0.987573828,0.925140745,0.918471427,0.006251082,0.002744085,0.843589762,0.998561916,SEKER
32701,654.784,232.0115854,180.2860663,1.286908024,0.629431086,32993,204.0495194,0.785892814,0.991149638,0.958461738,0.879479872,0.007094939,0.002618376,0.773484844,0.995403853,DERMASON
32222,664.072,246.9185955,166.4961596,1.483028775,0.738461401,32560,202.5495609,0.781158331,0.989619165,0.91818886,0.820309059,0.007663044,0.002140381,0.672906953,0.997940374,DERMASON
30330,645.992,243.0060961,159.2067557,1.52635543,0.755494146,30639,196.5129904,0.799841772,0.989914814,0.913330572,0.808675147,0.00801207,0.002113591,0.653955493,0.998168518,DERMASON
37553,702.511,241.5599608,198.0492209,1.219696598,0.572541091,37880,218.6640451,0.778203747,0.991367476,0.956198908,0.905216429,0.006432508,0.002664218,0.819416783,0.999439862,SEKER
32221,667.427,248.5096472,166.2182438,1.495080453,0.743388097,32581,202.5464178,0.827091408,0.988950615,0.908952808,0.815044487,0.007712661,0.002099468,0.664297515,0.99317823,DERMASON
44716,766.11,260.5966617,218.6403051,1.191896716,0.544133158,45132,238.608842,0.788349994,0.990782593,0.957393664,0.915625091,0.005827817,0.002526716,0.838369307,0.999249624,SEKER
40581,747.872,280.0538784,184.7775286,1.515627363,0.75144759,41011,227.3088955,0.773634544,0.989515008,0.911754806,0.811661302,0.006901108,0.001847558,0.658794069,0.998486317,DERMASON
43395,769.0,284.9580296,194.5261114,1.464883185,0.730747092,43780,235.0579291,0.816370683,0.99120603,0.922140034,0.82488614,0.00656661,0.001875413,0.680437144,0.99676093,SIRA
22687,553.435,204.6909196,141.2405819,1.449235884,0.723791449,22989,169.958776,0.721734428,0.986863282,0.930794253,0.83031908,0.009022388,0.002645339,0.689429774,0.999146368,DERMASON
